Video ID,Comment,processed
dSBsNeYqh-k,"Saw the movie tonight at an early screening, it was good. Not amazing.  it was good from the  middle to end. Go at your own risk","['movie', 'tonight', 'early', 'screening', 'good', 'amazing', 'good', 'middle', 'end', 'risk']"
dSBsNeYqh-k,ok so thermal technologies just doesn't exist in this universe,"['ok', 'thermal', 'technology', 'exist', 'universe']"
dSBsNeYqh-k,"I remember the movie ""100 Feet""... kind of..😁","['remember', 'movie', '100', 'feet', '...', 'kind', '..', '😁']"
dSBsNeYqh-k,He probably killed himself to turn invisible,"['probably', 'kill', 'turn', 'invisible']"
dSBsNeYqh-k,From the novel by H. G. Wells.,"['novel', 'h.', 'g.', 'wells']"
dSBsNeYqh-k,Movie is 2h long and its only 2 min of trailer how did you see whole movie ???,"['movie', '2h', 'long', '2', 'min', 'trailer', 'movie']"
dSBsNeYqh-k,"Me: *checks comments while video is loading*
Me: oh","['check', 'comment', 'video', 'load', 'oh']"
dSBsNeYqh-k,"Damn, can't believe they made an entire horror movie out of Eden Hazard's career.","['damn', 'believe', 'entire', 'horror', 'movie', 'eden', 'hazard', 'career']"
dSBsNeYqh-k,"Who's here after the surprising Rotten Tomatoes Score = 90% 

Jason Blum and Leigh Whannel the best.....","['surprising', 'rotten', 'tomatoes', 'score', '90', 'jason', 'blum', 'leigh', 'whannel', 'good', '.....']"
dSBsNeYqh-k,Dad?,
dSBsNeYqh-k,This movie is about john cena,"['movie', 'john', 'cena']"
dSBsNeYqh-k,"For those of you that think the whole movie’s shown in this trailer, those that have seen it say it’s not","['think', 'movie', 'trailer', '’']"
dSBsNeYqh-k,This should be a action movir,"['action', 'movir']"
dSBsNeYqh-k,"I thought Johnny Depp was supposed to be in this. Where is he? 





... Oh, I get it.","['think', 'johnny', 'depp', 'suppose', '...', 'oh']"
dSBsNeYqh-k,I think that... nobody will go and SEE... the invisible man... in the cinema.,"['think', '...', '...', 'invisible', 'man', '...', 'cinema']"
dSBsNeYqh-k,"I’m not gonna pay to watch a movie about a white man abusing his white woman then he becomes invincible to continue to torture her, to abuse her physically, emotionally,  psychologically & mentally. There’s nothing scary or horror about a story that is plain and simple of a Man Abusing a Woman on the large screen. Period. I said what I said, don’t delete my comment! 🗣








It’s sad how we are getting a Domestic Violence Movie Review instead of a Thriller movie, “Fantasy Island” it was market as a Horror film but it wasn’t, it was a Thriller. It was really good! Go watch that instead! ✨✨✨✨✨","['pay', 'watch', 'movie', 'white', 'man', 'abuse', 'white', 'woman', 'invincible', 'continue', 'torture', 'abuse', 'physically', 'emotionally', 'psychologically', 'mentally', '’', 'scary', 'horror', 'story', 'plain', 'simple', 'man', 'abuse', 'woman', 'large', 'screen', 'period', 'delete', 'comment', '🗣', '’', 'sad', 'domestic', 'violence', 'movie', 'review', 'instead', 'thriller', 'movie', 'fantasy', 'island', 'market', 'horror', 'film', 'thriller', 'good', 'watch', 'instead', '✨', '✨', '✨', '✨', '✨']"
dSBsNeYqh-k,"the first one was the best ""Hollow Man"" 2000","['good', 'hollow', 'man', '2000']"
dSBsNeYqh-k,"Okay I get it we are mad how the trailer showed everything  right, but why did we continue to watching it until the end?","['okay', 'mad', 'trailer', 'right', 'continue', 'watch', 'end']"
dSBsNeYqh-k,Plot twist: she's on drugs,"['plot', 'twist', 'drug']"
dSBsNeYqh-k,"Ok... I can fill in the gaps, thanks for showing everything and letting me save my money.","['ok', '...', 'fill', 'gap', 'thank', 'let', 'save', 'money']"
dSBsNeYqh-k,Plot twist:adrian is using a invisibility cloak from harry potter,"['plot', 'twist', 'adrian', 'use', 'invisibility', 'cloak', 'harry', 'potter']"
dSBsNeYqh-k,Skinny legend Mariah Carey will be cast as the Invisible Man,"['skinny', 'legend', 'mariah', 'carey', 'cast', 'invisible', 'man']"
dSBsNeYqh-k,So what if invisible man needs to take a shit?,"['invisible', 'man', 'need', 'shit']"
dSBsNeYqh-k,"Is he a ghost? Is he invisible? Is she crazy? 
*Reads title.
I WONDER WHICH IT COULD BE?!?","['ghost', 'invisible', 'crazy', 'read', 'title', 'wonder']"
dSBsNeYqh-k,Slender man: wanna partners?? Invisible man,"['slender', 'man', 'wanna', 'partner', 'invisible', 'man']"
dSBsNeYqh-k,This trailer cracks me up.. I wouldn't stalk that woman if she were the last on earth,"['trailer', 'crack', '..', 'stalk', 'woman', 'earth']"
dSBsNeYqh-k,"Great! Now~ thanks to the marketing genius who just HAD to show 75% of the best action sequences of the entire movie, I have to somehow keep my wife from seeing this trailer, so we can actually see this movie on Saturday, which is our scheduled “Date Night”. 

Of course, I’m excited for SUSHI! But we’ll see what happens guys!

The movie looks great, hopefully it has a few cliffhanger moments that we haven’t seen! Lol","['great', 'now~', 'thank', 'marketing', 'genius', '75', 'good', 'action', 'sequence', 'entire', 'movie', 'wife', 'trailer', 'actually', 'movie', 'saturday', 'schedule', 'date', 'night', 'course', 'excited', 'sushi', 'happen', 'guy', 'movie', 'look', 'great', 'hopefully', 'cliffhanger', 'moment', 'lol']"
dSBsNeYqh-k,oof i need to watch dis,"['oof', 'need', 'watch', 'dis']"
