Video ID,Comment
xlnPHQ3TLX8,Omg!!!! I go to cinema on this film!!!!!!!!
xlnPHQ3TLX8,And theres a lot of papayrus (=30)
xlnPHQ3TLX8,BUT I DONT CARE DISNEY IS GREATTT
xlnPHQ3TLX8,LOOKs like book of life
xlnPHQ3TLX8,"Why I want to watch this movie:
10% because its a Pixar movie
15% because it is based in Mexico 
75% a xoloitzcuintli is in it"
xlnPHQ3TLX8,"Pixar: ""What if skeletons had feelings?"""
xlnPHQ3TLX8,Book of Life 2 looks gr8
xlnPHQ3TLX8,The Book of Life 2
xlnPHQ3TLX8,Some one tell me name of this song plz !
xlnPHQ3TLX8,"YEEEESSSS ORIGINAL IP, PIXAR YOU ARE JUST TOO GOOD FOR THE NIHILISTIC MONEY GRABBING REBOOT LOVING ORIGINALY HATING WORLD OF HOLLYWOOD"
xlnPHQ3TLX8,"Looks Amazing! Soundtrack got me ,so...well,That's enough reason to watch! and look at all those beautiful patterns!"
xlnPHQ3TLX8,"I know this seems similar to book of life, one of my all time favorite movies but I am willing to give it a chance rather than rip it to shreds 3 months before it comes out."
xlnPHQ3TLX8,1:20
xlnPHQ3TLX8,so excited for CoCo
xlnPHQ3TLX8,"This is copying the Book Of Life. The whole concept is the same....In some ways😶.  The kids name is Miguel, and the main character In The Book Of Life was named Manolo."
xlnPHQ3TLX8,Anyone else getting a Spirited Away vibe from this?
xlnPHQ3TLX8,cof cof book of life cof cof
xlnPHQ3TLX8,Got it so it's The Book of Life but by Disney.
xlnPHQ3TLX8,In theaters in November 22nd 2017
xlnPHQ3TLX8,Hmm where does this film fit in the pixar theory 🤔
xlnPHQ3TLX8,"this infuriates me. ""coco"" is a literal ripoff of the book of life."
xlnPHQ3TLX8,But I bet it's gonna be nicee
xlnPHQ3TLX8,So so much like the book of lifeee
xlnPHQ3TLX8,"I love how this mov stands out this characteristic moral value of my México, the love and the union with the family <3"
xlnPHQ3TLX8,Is this a rippoff of the book of life?????!!!??
xlnPHQ3TLX8,This really reminds me of a small animation called Dia de los Muertos
xlnPHQ3TLX8,The book of life?
xlnPHQ3TLX8,hey book of life just not stylized
xlnPHQ3TLX8,am i only one actually excited for this film?
xlnPHQ3TLX8,I don't understand what the movie is about. What an awful trailer
xlnPHQ3TLX8,"So frozen movie and coco are comig at the same time??? ........




COOL!!!"
xlnPHQ3TLX8,cars 4
xlnPHQ3TLX8,That skeletons are creepy ...
xlnPHQ3TLX8,This is like the book of life!😂
xlnPHQ3TLX8,Doesn't the main kid remind anyone of a smaller Guava Juice?
xlnPHQ3TLX8,The design reminds me of Book of life and the boy reminds me of Kubo. This movie seems like it will be really good.
xlnPHQ3TLX8,"Can everyone shut up about Spirited Away and the Book of Life? Give this movie a chance. Book of Life was kinda towards the romance genre. I don't think Coco will have too much romance in this :/ Spirited away involved spirits from things that aren't alive, like a river. Hell, there was a radish spirit in that film."
xlnPHQ3TLX8,"The jaw drop joke was so simple and yet so smart and funny, I look forward to seeing the film!"
xlnPHQ3TLX8,OOO DIOS MIOO!
xlnPHQ3TLX8,I have a bad feeling this will play more like The Good Dinosaur.
xlnPHQ3TLX8,OMG
xlnPHQ3TLX8,Guys shut up
xlnPHQ3TLX8,"hope will see Super Mario in Coco lol, because in Super Mario Odyssey Mario looks like he's in Mexico and see a lot of skeleton people"
xlnPHQ3TLX8,it's cute. that's all I think of the film so far.
xlnPHQ3TLX8,"I'm in love with the Coco, I got it for the low low"
xlnPHQ3TLX8,It's not the book of life fanbrats
xlnPHQ3TLX8,"Book of Life 






anyone"
xlnPHQ3TLX8,"From The Creators Of Finding Dory, Inside Out, And Toy Story...But Why Not Cars 3?"
xlnPHQ3TLX8,"Look at the trailers back to back, The Book of Life and this movie share literally zero similarities. Even their Mexican-inspired art doesn't look the same. Not the same story. Not the same characters. Not the same anything."
xlnPHQ3TLX8,All right! My 7 year old who's terrified of death and all things related is going to love this! *sarcasm*
xlnPHQ3TLX8,The dog is a Mexican hairless :)
xlnPHQ3TLX8,mexico day of baed
xlnPHQ3TLX8,XD MY BROTHERS NAME IS MIGUEL
xlnPHQ3TLX8,DISNEY AND PIXAR ARE THE BEST DUO AT MOVIES
xlnPHQ3TLX8,"Sad to see that Pixar is so dry for ideas that they Rip Off Book of Life.

RIP Quality."
xlnPHQ3TLX8,This looks like book of life mixed with Kubo and the Two Strings two movies I both loved so heres hoping for this one.
xlnPHQ3TLX8,I love this already
xlnPHQ3TLX8,This is copycat The book of life.
xlnPHQ3TLX8,0:30 copy of kubo or inspired ???
xlnPHQ3TLX8,what kind of Book of life is this?
xlnPHQ3TLX8,This actually looks quite good
xlnPHQ3TLX8,0:04 I saw this in one scene of Cars 3!
xlnPHQ3TLX8,they stole the title​ of the movie from conan O'Brien
xlnPHQ3TLX8,"0:10 Pharah, is that you?"
xlnPHQ3TLX8,I wonder who voiced Miguel's mom.
xlnPHQ3TLX8,This looks abysmally bad.
xlnPHQ3TLX8,Good luck fitting this into the Pixar Theory. This doesn't look like Pixar at all.
xlnPHQ3TLX8,"What do u think they will do for music? I hoping they do an original song for it. It's really rare for Pixar to do this. If they do, I had two in mind who might be perfect: Carlos Penavega and Sofia Carson."
xlnPHQ3TLX8,Wow. This looks a lot better than I ever imagined when they first announced it.
xlnPHQ3TLX8,"oh, its a New trailer of the book of life"
xlnPHQ3TLX8,Disney version of Spirited Away?
xlnPHQ3TLX8,"Let me tell you that I am very impressed with Pixar's investigation. 
The orange leaves are from a flower called Cempaxochitl/Cempasúchil.
Dante (the dog) is a extremely rare dog race called Xoloitzcuintle that is only found in México.
Even the police logo (on the police officer hat at the end) is the exact same logo of the Mexico City PD.
The musician in the previous Trailer is a cameo to a real Mexican musician from the 1950's.
Aaaah! I feel very proud of my beloved country. (México)"
xlnPHQ3TLX8,And I found the western version of spirited away
xlnPHQ3TLX8,Everyones want incredibles 2 and I want a bugs life 2
xlnPHQ3TLX8,who's here from Conan show
xlnPHQ3TLX8,"This movie is quite similar to the Movie ""Book of Life"""
xlnPHQ3TLX8,This reminds me of spirited away!
xlnPHQ3TLX8,Book of life 2 looks great
xlnPHQ3TLX8,"Broke: This is Book of life!
Woke: This is Grim Fandango!"
xlnPHQ3TLX8,Im in love with the CoCo
xlnPHQ3TLX8,"I'm glad Pixar is making this movie, I already have three hairless dogs and two of them are Mexican-hairless just like this dog in the movie! (The other dog I have is Chinese Crested)"
xlnPHQ3TLX8,looks INTERESTING !!!!! can't wait for COCO ....... WHERE DOES THE MUSIC COME FROM?  SOUNDS AWESOME
xlnPHQ3TLX8,BOOK OF LIFE PLAGIARISM.
xlnPHQ3TLX8,could the boy be low-key Marco Diaz
xlnPHQ3TLX8,what junk for young people
xlnPHQ3TLX8,Still waiting for Good Dinosaur 2
xlnPHQ3TLX8,They reused Gerald on that dog.
xlnPHQ3TLX8,Does anyone know the song in this trailer??
xlnPHQ3TLX8,A Grim Fandango movie. Great. :D
xlnPHQ3TLX8,"This film looks quite good, considering that it brings us something we've heard of plenty of times, but giving a new twist to it with some really funny jokes and what I consider to be Pixar's best animation yet."
xlnPHQ3TLX8,epic
xlnPHQ3TLX8,And A113 and Cinderella's pumpkin. and the pizza planet truck. and anfew others
xlnPHQ3TLX8,I found the Coco Easter egg in Cars 3 along with the tree in toy story 2 and a bugs life along with BNL from wall-E and the pixar ball along side it! :)
xlnPHQ3TLX8,it's kind of like book of Life
xlnPHQ3TLX8,Si si si!
xlnPHQ3TLX8,Rip off of Book of Life confirmed.
xlnPHQ3TLX8,Soundtrack is similar to Dunkirk
xlnPHQ3TLX8,The trailer description reminds me of Spirited Away... travel to the world of afterlife....
xlnPHQ3TLX8,"I'm much more excited that they announced a Book of Life 2 than this...
Still, it doesn't look as bad as I thought it did. Still prefer TBOL's designs, but I'll give Coco a shot."
xlnPHQ3TLX8,"Honestly, even though this trailer isn't anything, it's better than other trailers giving away the WHOLE movie."
xlnPHQ3TLX8,I think I heard sombra...
xlnPHQ3TLX8,Bug Life2?
xlnPHQ3TLX8,wow the orange pathways they are beautiful
xlnPHQ3TLX8,Is it the part 2 of ''book of life''
xlnPHQ3TLX8,reminds me of one piece idk y
xlnPHQ3TLX8,these people legit named this movie after my dogs name it's even how u spell it
xlnPHQ3TLX8,1:06 FLUFFY!!!!!!!!
xlnPHQ3TLX8,Hey everyone just to be clear. you can make more then one movie about a scenario. it's called having a fresh take.
xlnPHQ3TLX8,I wanna watch this soooo bad
xlnPHQ3TLX8,Ya guey
xlnPHQ3TLX8,They're all a bunch of bad hombres if you ask me XD jk this looks ok
xlnPHQ3TLX8,YAY BOOK OF LIFE 2!!!!!
xlnPHQ3TLX8,So basically this is the book of like 2.
xlnPHQ3TLX8,I'm hyped
