Video ID,Comment
7bfS6seiLhk,so is anyone gonna talk about what else was under the bed at 2:24 ?
7bfS6seiLhk,Archies mom what u doing
7bfS6seiLhk,1:14 - 1:20 That's so much like Ellie from The Last Of Us
7bfS6seiLhk,"Oh damn

More like the head booth"
7bfS6seiLhk,Well I'm here for Joey king ...anyone else?
7bfS6seiLhk,"The two leads are dating in real life.
You are welcome."
7bfS6seiLhk,I wanna throw up
7bfS6seiLhk,"Is this from the wattpad best selling cause im freaking out 😭😭😭😭
#wattpadfam"
7bfS6seiLhk,archie's mom
7bfS6seiLhk,cringest thing I have seen in a while.
7bfS6seiLhk,"Wow,i thought she looked familiar...n yeah Ramona... "
7bfS6seiLhk,She looks like Christina Ricci
7bfS6seiLhk,When is it out
7bfS6seiLhk,Isn't the mom actually Archie's mom??? And I fuckin hate it how the elder brother takes the chick every fuckin time!!!
7bfS6seiLhk,Hint: they are also together in real life after meeting on the set of this movie!
7bfS6seiLhk,"Wattpad squad...
Where you at 😭😭😭"
7bfS6seiLhk,From the thumbnail I thought this would be a cheap attempt at Beauty and the Beast
7bfS6seiLhk,That  laugh at the end is hilarious xd
7bfS6seiLhk,she's in Taylor's music video.. MEAN
7bfS6seiLhk,Whoa Netflix! You've fallen so low.
7bfS6seiLhk,The guys was from super 8
7bfS6seiLhk,Is it just me or those she look like Hannah from 13 reasons why
7bfS6seiLhk,I remember reading this on wattpad back then
7bfS6seiLhk,Hey... Does anybody know the song that's playing in the background...?
7bfS6seiLhk,She is so short compared to him
7bfS6seiLhk,Beezus come get ur sis
7bfS6seiLhk,HEIGHT. DIFFERENCE.
7bfS6seiLhk,what's the background music? any idea?
7bfS6seiLhk,His mom spilling the beans about her at the end. xD lmfao
7bfS6seiLhk,Thats Jerremy!!!! 😁😁
7bfS6seiLhk,"I'm so f*cking happy!!! I love the book and now there's a movie!! I'm gonna cry!!! ❤❤❤

Just watched it!! What an amazing movie!! I can't tell if the movie is better or the book!! This was amazing!!!!❤❤❤"
7bfS6seiLhk,Well she's a shit best friend
7bfS6seiLhk,That height difference though. 😂
7bfS6seiLhk,this is every wattpad book ever
7bfS6seiLhk,What's the name of the song in this?
7bfS6seiLhk,this is so good
7bfS6seiLhk,The book I read. 😍
7bfS6seiLhk,"The Hell? This girl's a piece of shit. She lies to and betrays her childhood best friend because his bro is  ""so hot"". Bitch fuck you, you just a thot"
7bfS6seiLhk,This is gay
7bfS6seiLhk,OMG I’m so happy I love this book I never thought it would get its own movie 😁😝👏🏾
7bfS6seiLhk,I literally said this reminds me of a Wattpad book while watching this trailer and it actually was Wattpad book ...
7bfS6seiLhk,A movie I would watch with my single friends that's never been kissed just like  me😂😂😂
7bfS6seiLhk,Please stop with the “I’m not going through a phase mom teenager romcom’s”
7bfS6seiLhk,What movie is this girl in? I can't put my finger on it!
7bfS6seiLhk,That's ramona😍😍😍
7bfS6seiLhk,so this is an actual movie right? Cuz I really wanna see it
7bfS6seiLhk,SOMEONE TELL ME WHEN IT COMES OUT PLEEEEAAAASSSSEEEE
7bfS6seiLhk,The brother looks like Jeremy from the vampire diaries
7bfS6seiLhk,Ramona??!!! Tf???!!!! Wow
7bfS6seiLhk,joeyyyy kingggg my childhood ie ramona and beezus
7bfS6seiLhk,"Before reading the comments: wow.... This screams wattpad all over
After reading comments: ......oh"
7bfS6seiLhk,:0
7bfS6seiLhk,WOAH Ramona got hot😂
7bfS6seiLhk,Not interested
7bfS6seiLhk,for sure watching this but reading the book first
7bfS6seiLhk,Netflix presents the sex offender
7bfS6seiLhk,they just told me the entire story lol
7bfS6seiLhk,RAMONA
7bfS6seiLhk,Can't wait looks sooooo good😄😄
7bfS6seiLhk,"Stop make teneager on Netflix STOP, when a series come out is always a shit or a tenegaer shit"
7bfS6seiLhk,2:08 this moment ... arrgh😆😍😍
7bfS6seiLhk,I like Joey King as an actress
7bfS6seiLhk,That was the University of Cape Town!
7bfS6seiLhk,Ok the trailer basically told the entire story. Moving on
7bfS6seiLhk,Love the ending 😂
7bfS6seiLhk,Pretty sure they filmed some of this at the University to Cape Town? 😶
7bfS6seiLhk,01:37 what song is?
7bfS6seiLhk,I read this when it was on Wattpad! I’m am so thrilled for this!
7bfS6seiLhk,beezus would be vry happy to see her small ramona's change
7bfS6seiLhk,I spy Mary Andrews👀
7bfS6seiLhk,Wachted the trailer for about a million times ❤️😍
7bfS6seiLhk,\o/ Filmed in South Africa!
7bfS6seiLhk,Wtf is this shit?
7bfS6seiLhk,Cringey
7bfS6seiLhk,Is that the girl from Conjuring?
7bfS6seiLhk,already sounds so cliche
